,UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
492,BA,Teofilândia,21,19,242,313
493,BA,Teolândia,9,8,180,218
494,BA,Terra Nova,12,5,156,323
495,BA,Tremedal,11,26,145,298
496,BA,Tucano,73,95,769,1057
497,BA,Uauá,29,70,365,663
498,BA,Ubaíra,25,24,266,499
499,BA,Ubaitaba,44,58,442,665
500,BA,Ubatã,32,28,308,501
501,BA,Uibaí,16,8,153,207
502,BA,Umburanas,26,20,172,187
503,BA,Una,52,31,354,689
504,BA,Urandi,45,18,291,448
505,BA,Uruçuca,47,48,450,1131
506,BA,Utinga,40,32,351,461
507,BA,Valença,283,297,2071,3684
508,BA,Valente,33,61,786,886
509,BA,Várzea da Roça,10,43,133,239
510,BA,Várzea do Poço,11,10,113,242
511,BA,Várzea Nova,34,23,154,355
512,BA,Varzedo,9,14,114,214
513,BA,Vera Cruz,69,61,887,1580
514,BA,Vereda,9,5,42,173
515,BA,Vitória da Conquista,1905,1887,13046,23596
516,BA,Wagner,27,19,133,199
517,BA,Wanderley,8,20,203,161
518,BA,Wenceslau Guimarães,17,10,247,302
519,BA,Xique-Xique,85,52,697,1177
520,CE,Totais,37525,21930,213939,334958
521,CE,Abaiara,13,2,83,128
522,CE,Acarape,26,12,164,421
523,CE,Acaraú,159,63,902,1144
524,CE,Acopiara,69,26,590,885
525,CE,Aiuaba,16,6,141,239
526,CE,Alcântaras,7,7,139,339
527,CE,Altaneira,5,4,78,106
528,CE,Alto Santo,23,25,283,259
529,CE,Amontada,77,36,513,769
530,CE,Antonina do Norte,11,4,97,109
531,CE,Apuiarés,17,7,211,326
532,CE,Aquiraz,578,220,1707,3038
533,CE,Aracati,294,129,1778,3110
534,CE,Aracoiaba,32,18,348,624
535,CE,Ararendá,9,21,132,175
536,CE,Araripe,17,10,222,269
537,CE,Aratuba,6,3,115,189
538,CE,Arneiroz,7,3,72,183
539,CE,Assaré,18,17,287,354
540,CE,Aurora,21,27,283,429
541,CE,Baixio,3,7,67,81
542,CE,Banabuiú,32,13,188,392
543,CE,Barbalha,202,104,1303,1780
544,CE,Barreira,25,21,389,880
545,CE,Barro,25,19,290,346
546,CE,Barroquinha,17,4,208,370
547,CE,Baturité,68,54,676,1147
548,CE,Beberibe,148,88,882,1661
549,CE,Bela Cruz,26,17,397,864
550,CE,Boa Viagem,56,67,601,1186
551,CE,Brejo Santo,110,96,907,879
552,CE,Camocim,128,62,1118,2344
553,CE,Campos Sales,42,21,406,676
554,CE,Canindé,141,62,1417,1573
555,CE,Capistrano,13,11,151,346
556,CE,Caridade,32,11,205,235
557,CE,Cariré,23,6,186,350
558,CE,Caririaçu,19,9,231,436
559,CE,Cariús,15,16,185,301
560,CE,Carnaubal,18,9,203,460
561,CE,Cascavel,165,126,1418,2251
562,CE,Catarina,9,3,142,175
563,CE,Catunda,8,3,176,93
564,CE,Caucaia,1073,624,6426,13520
565,CE,Cedro,27,18,306,342
566,CE,Chaval,14,4,140,306
567,CE,Choró,12,8,77,121
568,CE,Chorozinho,35,20,305,517
569,CE,Coreaú,25,7,246,505
570,CE,Crateús,155,100,1577,2559
571,CE,Crato,336,241,2884,4308
572,CE,Croatá,10,17,180,379
573,CE,Cruz,92,44,858,1338
574,CE,Deputado Irapuan Pinheiro,8,7,83,139
575,CE,Ererê,3,3,60,97
576,CE,Eusébio,1393,976,4406,3504
577,CE,Farias Brito,12,6,225,290
578,CE,Forquilha,38,15,348,575
579,CE,Fortaleza,21242,12370,98695,151282
580,CE,Fortim,102,31,384,641
581,CE,Frecheirinha,16,26,241,387
582,CE,General Sampaio,9,8,140,270
583,CE,Graça,6,5,137,380
584,CE,Granja,59,31,437,1007
585,CE,Granjeiro,6,1,33,62
586,CE,Groaíras,10,6,290,374
587,CE,Guaiúba,89,21,217,527
588,CE,Guaraciaba do Norte,56,49,759,1166
589,CE,Guaramiranga,48,16,161,228
590,CE,Hidrolândia,17,23,234,521
591,CE,Horizonte,350,178,1271,2899
592,CE,Ibaretama,15,12,112,152
593,CE,Ibiapina,37,21,327,817
594,CE,Ibicuitinga,11,7,108,261
595,CE,Icapuí,78,16,507,714
596,CE,Icó,102,71,835,1183
597,CE,Iguatu,310,214,2893,3024
598,CE,Independência,32,21,403,390
599,CE,Ipaporanga,5,5,109,168
600,CE,Ipaumirim,18,17,181,169
601,CE,Ipu,47,57,743,1102
602,CE,Ipueiras,14,36,426,970
603,CE,Iracema,18,28,267,360
604,CE,Irauçuba,20,20,274,496
605,CE,Itaiçaba,9,17,119,268
606,CE,Itaitinga,258,153,1143,2545
607,CE,Itapagé,63,45,737,1343
608,CE,Itapipoca,199,109,1783,3976
609,CE,Itapiúna,11,11,161,328
610,CE,Itarema,111,35,671,799
611,CE,Itatira,19,8,287,248
612,CE,Jaguaretama,27,12,237,351
613,CE,Jaguaribara,19,15,187,282
614,CE,Jaguaribe,80,80,801,966
615,CE,Jaguaruana,71,41,765,762
616,CE,Jardim,11,22,354,326
617,CE,Jati,13,2,82,144
618,CE,Jijoca de Jericoacoara,118,66,1120,1764
619,CE,Juazeiro do Norte,1091,858,8533,12022
620,CE,Jucás,34,20,321,422
621,CE,Lavras da Mangabeira,30,11,382,352
622,CE,Limoeiro do Norte,225,133,1618,2442
623,CE,Madalena,22,9,312,212
624,CE,Maracanaú,1487,515,5476,9985
625,CE,Maranguape,316,140,1711,3133
626,CE,Marco,70,27,549,569
627,CE,Martinópole,11,9,127,269
628,CE,Massapê,39,17,505,762
629,CE,Mauriti,70,34,634,640
630,CE,Meruoca,13,14,253,409
631,CE,Milagres,48,23,308,382
632,CE,Milhã,14,11,186,282
633,CE,Miraíma,9,3,77,160
